,Make,Engine Capacity(CC),Mileage(miles),Year,Price
92,Suzuki,800.0,42297.979797979795,2011,585000.0
93,Hyundai,1000.0,57921.115684403085,2003,660000.0
94,Nissan,1500.0,100662.1331424481,2012,1300000.0
95,Suzuki,1300.0,6710.808876163206,2020,2485000.0
96,KIA,2000.0,6151.574803149606,2021,3600000.0
97,Honda,1300.0,43495.98345661337,2018,2450000.0
98,Suzuki,800.0,53748.608128529384,2007,500000.0
99,Hyundai,1100.0,93205.67883560009,2006,810000.0
100,Suzuki,1000.0,49709.69537898671,2007,745000.0
101,Toyota,1300.0,62137.119223733396,2005,1525000.0
102,Honda,1500.0,144158.11659906147,1997,950000.0
103,Toyota,1300.0,21747.991728306686,2017,2600000.0
104,Toyota,2000.0,146643.6013680108,2007,1150000.0
105,Toyota,2500.0,64001.232800445396,2005,2975000.0
106,Daihatsu,800.0,77671.39902966675,2008,825000.0
107,Daihatsu,660.0,14912.908613696014,2018,2195000.0
108,Toyota,1500.0,97555.27718126142,2016,3375000.0
109,Toyota,3000.0,86991.96691322674,2001,5250000.0
110,MG,1500.0,1180.6052652509345,2021,6075000.0
111,Toyota,1300.0,38199.415413982344,2017,2680000.0
112,Honda,1500.0,14248.041438002067,2020,3515000.0
113,Suzuki,1000.0,61515.748031496056,2011,1100000.0
114,Daihatsu,660.0,43495.98345661337,2016,1420000.0
115,MG,1500.0,2485.484768949336,2021,5675000.0
116,Suzuki,660.0,4970.969537898672,2021,1945000.0
117,Suzuki,660.0,6337.986160820806,2019,1590000.0
118,KIA,2000.0,11806.052652509345,2020,5600000.0
119,Daihatsu,660.0,39767.75630318937,2013,1450000.0
120,Honda,2400.0,74564.54306848007,2004,1775000.0
121,Honda,1300.0,48056.8480076354,2016,2195000.0
122,Honda,1800.0,77671.39902966675,2016,2880000.0
123,Suzuki,800.0,118060.52652509345,2013,760000.0
124,Toyota,1800.0,49709.69537898671,2016,3150000.0
125,Toyota,1300.0,3658.6335798934224,1994,800000.0
126,Mazda,660.0,57787.52087807206,2012,1695000.0
127,Toyota,1300.0,47348.48484848485,2012,1775000.0
128,Toyota,1300.0,6.835083114610673,2012,1800000.0
129,Toyota,1500.0,75807.28545295473,2017,3100000.0
130,Toyota,2700.0,57166.149685834724,2014,3575000.0
131,Suzuki,1000.0,68.97220233834406,2012,900000.0
132,Toyota,1300.0,24233.476497256022,2019,3125000.0
133,Suzuki,1000.0,9.32056788356001,2009,850000.0
134,Toyota,2700.0,39767.75630318937,2016,19000000.0
135,Toyota,1300.0,119859.39612662053,2012,1700000.0
136,Honda,1500.0,62137.119223733396,1995,665000.0
137,Honda,1300.0,80778.25499085341,2011,1905000.0
138,Suzuki,1000.0,42253.241072138706,2006,750000.0
139,Suzuki,800.0,23612.10530501869,2019,950000.0
140,Toyota,1300.0,1491.2908613696013,2021,2750000.0
141,Toyota,1300.0,52816.551340173384,2008,1625000.0
142,Toyota,1300.0,40389.12749542671,2017,2650000.0
143,Honda,1800.0,23984.92802036109,2018,3825000.0
144,Suzuki,660.0,13048.795036984013,2019,1785000.0000000002
145,Honda,1800.0,15534.279805933349,2019,3800000.0
146,Honda,1500.0,93205.67883560009,2010,2150000.0
147,Toyota,1000.0,36356.42845780641,2018,2800000.0
148,Toyota,1000.0,19749.661974071423,2018,2800000.0
149,Honda,1800.0,74564.54306848007,2013,2400000.0
150,Toyota,1000.0,21393.18877753917,2018,2750000.0
151,Toyota,1000.0,24881.566650759563,2018,2750000.0
152,Toyota,1000.0,8313.946552135529,2019,2925000.0
153,Toyota,1000.0,15443.559611866698,2018,2800000.0
154,Toyota,1000.0,18712.59345422731,2018,2750000.0
155,Toyota,1000.0,16640.94189930804,2018,2800000.0
156,Toyota,1800.0,16777.022190408017,2018,3850000.0
157,Honda,1800.0,42253.241072138706,2016,2900000.0
158,Suzuki,800.0,43495.98345661337,2015,580000.0
159,Honda,1800.0,83885.11095204008,2014,2725000.0
160,Suzuki,1000.0,50897.7570985445,2011,850000.0
161,Honda,1300.0,44738.725841088046,2019,2475000.0
162,Toyota,2700.0,93205.67883560009,2003,5500000.0
163,Range,4200.0,86991.96691322674,2009,8000000.0
164,Toyota,1500.0,55923.40730136005,1994,1250000.0
165,Suzuki,1000.0,62137.119223733396,1984,770000.0
166,Suzuki,800.0,58408.89207030939,2016,970000.0
167,Toyota,2700.0,32932.6731885787,2015,15500000.0
168,Honda,1600.0,1242.742384474668,1996,685000.0
169,Suzuki,1000.0,26718.96126620536,2018,1650000.0
170,Honda,1800.0,82020.99737532808,2011,1830000.0
171,Suzuki,1000.0,62137.119223733396,2010,850000.0
172,Suzuki,800.0,38525.01391871471,2012,730000.0
173,Toyota,1000.0,14291.537421458681,2019,2650000.0
174,Nissan,1500.0,44490.17736419311,2016,2260000.0
175,Suzuki,660.0,40389.12749542671,2007,1080000.0
176,Nissan,660.0,24854.847689493356,2016,1590000.0
177,Toyota,1000.0,145400.85898353613,2005,1375000.0
178,Toyota,1800.0,0.621371192237334,2021,4475000.0
179,Toyota,1000.0,62137.119223733396,2011,1725000.0
180,Honda,1600.0,106130.19963413663,2005,1425000.0
181,Toyota,1000.0,17046.075916646783,2018,2850000.0
182,Toyota,1000.0,21209.884275829158,2018,2800000.0
183,Toyota,1000.0,40231.299212598424,2018,2800000.0
184,Honda,1300.0,63069.176012089396,2011,1714999.9999999998
185,Toyota,1000.0,11067.863676131392,2018,2800000.0
186,Toyota,1000.0,21425.50007953551,2018,2750000.0
187,Toyota,1000.0,7481.930525729737,2019,2725000.0
188,Toyota,1000.0,18697.059174421378,2018,2650000.0
189,Toyota,1000.0,9322.43199713672,2018,2600000.0
190,Toyota,1500.0,12057.086614173228,2018,6600000.0
191,Nissan,1200.0,23728.30171796707,2018,3200000.0
192,Toyota,1500.0,76542.3675733715,2016,3600000.0
193,Suzuki,1000.0,62137.119223733396,2013,1125000.0
194,Toyota,2000.0,53437.92253241072,2005,2450000.0
195,KIA,1000.0,16155.650998170682,2020,2195000.0
196,Honda,1500.0,17398.39338264535,2016,2050000.0
197,Suzuki,800.0,43.495983456613374,2007,535000.0
198,Suzuki,1000.0,54059.29372464805,2006,750000.0
199,Hyundai,1000.0,62137.119223733396,2021,550000.0
200,Honda,1800.0,41010.49868766404,2011,1550000.0
201,Suzuki,1000.0,37282.27153424003,2017,1200000.0
202,Mercedes,2600.0,104390.3602958721,2005,3100000.0
203,Toyota,1300.0,9941.939075797343,2020,2725000.0
204,Toyota,4608.0,46602.839417800045,2016,32700000.0
205,Honda,1800.0,51573.80895569872,2018,3650000.0
206,Honda,1500.0,57166.149685834724,2015,2700000.0
207,Suzuki,1000.0,49088.32418674938,2017,1750000.0
208,Suzuki,1300.0,62137.119223733396,1990,650000.0
209,Honda,1500.0,25476.218881730692,2018,3100000.0
210,Honda,1800.0,93205.67883560009,2009,1675000.0
211,Suzuki,1000.0,46602.839417800045,2005,500000.0
212,Suzuki,660.0,74564.54306848007,2014,1550000.0
213,Honda,1500.0,20505.24934383202,2016,4500000.0
214,Suzuki,800.0,62137.119223733396,2011,600000.0
215,Honda,1300.0,16777.022190408017,2020,2650000.0
216,Honda,1300.0,37282.27153424003,2018,2385000.0
217,Toyota,1500.0,9320.567883560008,2016,3650000.0
218,Toyota,2700.0,4580.127057981388,2017,20000000.0
219,Honda,1500.0,25464.41282907818,2016,4800000.0
220,Toyota,2700.0,14306.450330072377,2018,21500000.0
221,Honda,1500.0,64179.56633261751,2015,2950000.0
222,Toyota,2700.0,7296.761910443012,2018,24000000.0
223,Honda,1500.0,54680.664916885384,2016,3250000.0
224,Suzuki,660.0,44867.97104907341,2017,1800000.0
225,Toyota,1000.0,11416.452914976537,2018,2800000.0
226,Honda,1500.0,33854.166666666664,2015,4100000.0
227,Toyota,1000.0,19160.60208383043,2018,2750000.0
228,Toyota,1000.0,14372.315676449534,2018,2750000.0
229,Toyota,1000.0,30902.653503539328,2018,2700000.0
230,Suzuki,800.0,18641.135767120017,2019,975000.0
231,Toyota,1800.0,45049.41143720671,2014,3100000.0
232,Suzuki,1000.0,43495.98345661337,2018,1700000.0
233,FAW,1300.0,18641.135767120017,2019,1500000.0
234,Suzuki,1000.0,3728.2271534240035,2020,1500000.0
235,Toyota,1000.0,94448.42122007476,2006,1600000.0
236,Suzuki,1000.0,21747.991728306686,2018,1950000.0
237,Toyota,1300.0,96312.53479678676,2009,1700000.0
238,Honda,1500.0,93205.67883560009,2005,1050000.0
239,Mitsubishi,1300.0,110790.48357591665,2004,925000.0
240,Suzuki,1000.0,53679.63592619104,2006,819999.9999999999
241,Daihatsu,660.0,41631.86987990137,2013,1350000.0
242,Toyota,1800.0,31689.93080410403,2019,3950000.0
243,Suzuki,1000.0,49958.24385588165,2010,800000.0
244,Mazda,1300.0,37282.27153424003,2003,1800000.0
245,Toyota,1800.0,74564.54306848007,2013,3150000.0
246,Prince,800.0,6151.574803149606,2020,1170000.0
247,Toyota,1300.0,48466.952994512045,2006,1600000.0
248,Honda,1600.0,96312.53479678676,2005,1425000.0
249,Toyota,1500.0,59030.26326254672,2008,1670000.0
250,Toyota,1000.0,62137.119223733396,2012,1800000.0
251,Toyota,1300.0,124274.23844746679,2014,2300000.0
252,Suzuki,1000.0,3106.8559611866694,2021,2350000.0
253,Changan,1000.0,13670.166229221346,2021,1650000.0
254,Toyota,1800.0,19883.878151594687,2019,3925000.0
255,Suzuki,660.0,40455.6142129961,2017,1800000.0
256,Toyota,1000.0,40955.196651554914,2018,2800000.0
257,Honda,1500.0,9783.489421776823,2019,6700000.0
258,Toyota,1600.0,55302.03610912272,2012,2350000.0
259,Toyota,1000.0,20245.516185476816,2018,2750000.0
260,Toyota,1300.0,24233.476497256022,2019,3050000.0
261,Toyota,1000.0,30638.57074683846,2014,1714999.9999999998
262,Toyota,1800.0,86370.59572098941,2014,2800000.0
263,Honda,1800.0,19419.09249980116,2017,3415000.0
264,Toyota,1800.0,64800.937524854846,2013,3100000.0
265,Toyota,1600.0,46602.839417800045,2012,2400000.0
266,Toyota,4000.0,43495.98345661337,2013,16500000.0
267,Suzuki,660.0,1739.839338264535,2021,1700000.0
268,Hyundai,2000.0,4970.969537898672,2021,6350000.0
269,Toyota,1800.0,43495.98345661337,2015,2875000.0
270,Suzuki,1000.0,25289.80752405949,2021,1900000.0
271,Suzuki,1000.0,45360.09703332538,2009,819999.9999999999
272,Honda,1800.0,15347.868448262148,2019,4190000.0
273,Honda,1800.0,39146.38511095204,2013,2225000.0
274,Toyota,1300.0,34175.41557305337,2017,2550000.0
275,Suzuki,800.0,32932.6731885787,2017,900000.0
276,Toyota,1300.0,86991.96691322674,2007,1245000.0
277,Mitsubishi,1300.0,62137.119223733396,2005,700000.0
278,Toyota,2700.0,31068.559611866698,2004,6800000.0
279,Honda,1800.0,21747.991728306686,2019,4100000.0
280,Nissan,1200.0,27961.703650680025,2018,3200000.0
281,Honda,1500.0,31068.559611866698,2016,2650000.0
282,Honda,1500.0,62137.119223733396,2016,4300000.0
283,Nissan,660.0,56544.77849359739,2017,1900000.0
284,Toyota,1300.0,59030.26326254672,2018,3025000.0
285,Mitsubishi,1300.0,344.8610116917203,2004,990000.0
286,Honda,1200.0,1180.6052652509345,2021,3050000.0
287,Daihatsu,660.0,63069.176012089396,2012,1550000.0
288,Toyota,1500.0,45360.09703332538,2017,3500000.0
289,Honda,1500.0,6.2137119223733395,2021,3750000.0
290,Hyundai,1000.0,186411.35767120018,2004,680000.0
291,MG,1500.0,31.068559611866696,2021,6075000.0
292,Toyota,2700.0,24233.476497256022,2017,20700000.0
293,Toyota,1500.0,32000.616400222698,2018,3250000.0
294,KIA,1400.0,6.2137119223733395,2021,4300000.0
295,Daihatsu,660.0,5592.340730136006,2019,2100000.0
296,Toyota,2700.0,75185.9142607174,2017,7700000.0
297,Suzuki,1300.0,22990.734112781356,2017,1785000.0000000002
298,Honda,1500.0,21126.620536069353,2017,4595000.0
299,Toyota,1000.0,47224.21061003738,2018,2675000.0
300,Toyota,1800.0,25.47621888173069,2021,4400000.0
301,Toyota,2000.0,62137.119223733396,1986,900000.0
302,Toyota,1300.0,118607.3331742623,2002,1000000.0
303,Toyota,2800.0,62137.119223733396,1996,2000000.0
304,Toyota,1300.0,74564.54306848007,2014,2150000.0
305,Suzuki,800.0,6084.466714387974,2004,510000.0
306,Honda,1800.0,93205.67883560009,2012,2100000.0
307,Toyota,3400.0,43495.98345661337,1999,4100000.0
308,Mercedes,1800.0,146022.23017577347,2004,3000000.0
309,Honda,1800.0,80778.25499085341,2012,2125000.0
310,BMW,4400.0,37282.27153424003,2006,5200000.0
311,Suzuki,660.0,8388.511095204009,2021,1550000.0
312,Honda,1800.0,0.621371192237334,2021,4550000.0
313,Toyota,1300.0,59030.26326254672,2016,2670000.0
314,Suzuki,1000.0,31068.559611866698,2007,785000.0
315,Toyota,1500.0,0.621371192237334,1993,1400000.0
316,Daihatsu,660.0,46602.839417800045,2017,2000000.0
317,Toyota,1000.0,14291.537421458681,2018,2350000.0
318,Changan,1500.0,3521.3105464089713,2021,2850000.0
319,Toyota,1300.0,86370.59572098941,2011,1875000.0
320,Changan,1000.0,31.068559611866696,2021,1900000.0
321,Hyundai,2000.0,994.1939075797343,2021,6650000.0
322,Toyota,1300.0,124274.23844746679,1996,819999.9999999999
323,Toyota,2400.0,68350.83114610674,2010,3725000.0
324,Suzuki,1000.0,93205.67883560009,2007,625000.0
325,Suzuki,660.0,49877.46560089079,2015,1660000.0000000002
326,Honda,1800.0,54680.664916885384,2012,2550000.0
327,Honda,1300.0,27961.703650680025,2017,2350000.0
328,Honda,1500.0,23238.661218484052,2018,2775000.0
329,Toyota,1600.0,76712.0019088523,2003,1400000.0
330,Honda,1200.0,6.2137119223733395,2021,3040000.0
331,Audi,1400.0,14291.537421458681,2018,12200000.0
332,Toyota,3000.0,100040.76195021076,2007,2300000.0
333,Honda,1500.0,6.2137119223733395,2021,3549000.0
334,Suzuki,1000.0,93827.05002783742,2010,915000.0
335,Hyundai,2000.0,3728.2271534240035,2021,4100000.0
336,Toyota,3000.0,164663.3659428935,2007,5500000.0
337,Toyota,1500.0,34175.41557305337,2017,3050000.0
338,Suzuki,1000.0,20195.806490097828,2018,1675000.0
339,Toyota,2700.0,40389.12749542671,2018,8190000.000000001
340,Toyota,1300.0,36039.52914976537,2011,1700000.0
341,Toyota,1800.0,14788.634375248548,2020,4150000.0
342,Suzuki,1300.0,89259.97176489302,2011,1350000.0
343,Suzuki,800.0,15534.279805933349,2017,780000.0
344,Toyota,1300.0,83885.11095204008,2013,2000000.0
345,Toyota,1800.0,7456.454306848007,2021,4400000.0
346,KIA,3500.0,74.56454306848008,2021,8150000.0
347,Toyota,1300.0,153478.6844826215,2009,1540000.0
348,Honda,1300.0,73943.17187624273,2014,2090000.0
349,Honda,1600.0,186410.73630000793,2001,1150000.0
350,Honda,1800.0,55302.03610912272,2013,2450000.0
351,Honda,1500.0,47224.21061003738,2016,3350000.0
352,Toyota,1600.0,0.621371192237334,2021,3755000.0
353,Toyota,1300.0,186411.35767120018,1996,930000.0
354,Honda,1500.0,76.42865664519208,2006,1250000.0
355,Suzuki,660.0,44117.354648850705,2011,1250000.0
356,Honda,1900.0,3106.8559611866694,1995,750000.0
357,Suzuki,1000.0,55923.40730136005,2010,810000.0
358,Suzuki,1000.0,10563.310268034676,2021,1965000.0
359,Suzuki,800.0,46481.672035313764,2013,660000.0
360,Suzuki,1000.0,42253.241072138706,2018,1550000.0
361,Honda,1300.0,85749.22452875208,2010,1880000.0
362,Suzuki,1000.0,55302.03610912272,2011,750000.0
363,Honda,1800.0,43495.98345661337,2016,3150000.0
364,Suzuki,1300.0,15534.279805933349,2021,2250000.0
365,Toyota,1500.0,5592.340730136006,2021,3295000.0000000005
366,Toyota,1000.0,9941.939075797343,2018,2625000.0
367,Honda,1800.0,71457.6871072934,2016,3100000.0
368,Honda,1800.0,56313.6284100851,2012,1850000.0
369,KIA,2000.0,4349.598345661338,2021,5780000.0
370,Honda,1800.0,37903.64272647737,2018,3850000.0
371,Toyota,1800.0,24904.557384872343,2017,5190000.0
372,Toyota,1300.0,52041.08009226119,2017,2800000.0
373,Toyota,2700.0,17211.98202497415,2016,18700000.0
374,Toyota,1300.0,69593.5735305814,2007,1275000.0
375,Suzuki,660.0,77671.39902966675,2017,1725000.0
376,Daihatsu,1000.0,14912.908613696014,2019,4250000.0
377,Toyota,1000.0,83885.11095204008,2015,2150000.0
378,Toyota,2800.0,30285.631909647655,2018,9500000.0
379,Toyota,1800.0,34175.41557305337,2016,2925000.0
380,Mercedes,2600.0,43495.98345661337,2002,2200000.0
381,Toyota,1800.0,48466.952994512045,2016,4750000.0
382,Suzuki,1400.0,43495.98345661337,2018,2200000.0
383,Honda,2400.0,118060.52652509345,2006,1650000.0
384,Honda,1800.0,55923.40730136005,2013,2450000.0
385,Daihatsu,660.0,101811.66984808717,2017,1750000.0
386,Daihatsu,660.0,79.53551260637875,2012,1335000.0
387,Toyota,1000.0,34175.41557305337,2014,1975000.0
388,Daihatsu,660.0,86991.96691322674,2008,1050000.0
389,Suzuki,1000.0,37282.27153424003,2016,1415000.0
390,Toyota,2500.0,120546.01129404278,2005,3000000.0
391,Hyundai,2600.0,4970.969537898672,2021,2850000.0
392,Honda,1500.0,1242.742384474668,1998,750000.0
393,Honda,1800.0,51573.80895569872,2017,3700000.0
394,Suzuki,800.0,124274.23844746679,2011,680000.0
395,Toyota,2400.0,155342.7980593335,1988,1500000.0
396,Toyota,1800.0,16777.022190408017,2018,3600000.0
397,Toyota,1600.0,0.621371192237334,2003,1600000.0
398,Daihatsu,800.0,31068.559611866698,2007,550000.0
399,Honda,1500.0,25476.218881730692,2018,2850000.0
400,Honda,1500.0,34796.7867652907,2012,2650000.0
401,Toyota,1600.0,74564.54306848007,2014,2300000.0
402,Honda,1500.0,45981.46822556271,2016,4600000.0
403,Toyota,3000.0,46602.839417800045,2017,6000000.0
404,Nissan,5700.0,24233.476497256022,2013,24000000.0
405,Honda,1500.0,23612.10530501869,2015,4000000.0
406,Suzuki,660.0,24854.847689493356,2018,1775000.0
407,KIA,1000.0,5209.576075717808,2021,2450000.0
408,Honda,1800.0,168581.1113099499,2007,1600000.0
409,MG,1500.0,15.534279805933348,2021,6100000.0
410,Toyota,2700.0,43495.98345661337,2017,7690000.000000001
411,Toyota,1600.0,18619.38777539171,2015,3050000.0
412,Toyota,1500.0,0.621371192237334,2021,3260000.0
413,Toyota,1800.0,52816.551340173384,2018,3575000.0
414,Honda,1300.0,34175.41557305337,2016,2400000.0
415,Honda,1300.0,71457.6871072934,2016,2100000.0
416,Toyota,1500.0,932.0567883560009,2018,3350000.0
417,Honda,1500.0,55923.40730136005,2015,2100000.0
418,Honda,1300.0,54680.664916885384,2013,1900000.0
419,Suzuki,1000.0,50331.06657122405,2016,1225000.0
420,Honda,1300.0,55923.40730136005,2017,2300000.0
421,Haval,1500.0,18.64113576712002,2021,6175000.0
422,Honda,1800.0,49709.69537898671,2014,2900000.0
423,Toyota,1500.0,54680.664916885384,2011,3200000.0
424,Toyota,1800.0,99419.39075797342,2007,2300000.0
425,Honda,1800.0,40389.12749542671,2019,3900000.0
426,Honda,1300.0,67729.4599538694,2007,1500000.0
427,KIA,1000.0,5592.340730136006,2021,2425000.0
428,Toyota,1800.0,52195.18014793605,2010,2345000.0
429,Toyota,1300.0,21747.991728306686,2020,2650000.0
430,Suzuki,1000.0,80156.88379861608,2010,819999.9999999999
431,Haval,1500.0,0.621371192237334,2021,6175000.0
432,Suzuki,660.0,185.1686152867255,2021,1650000.0
433,Suzuki,660.0,6.2137119223733395,2021,1625000.0
434,Toyota,1300.0,177090.78978764018,2009,1700000.0
435,Toyota,1600.0,276.5101805456136,2021,2350000.0
436,Toyota,1300.0,54059.29372464805,2013,1880000.0
437,Suzuki,1000.0,43495.98345661337,2019,1575000.0
438,Honda,1500.0,29825.817227392028,2017,3000000.0
439,Toyota,2700.0,13048.795036984013,2018,25100000.0
440,Toyota,2700.0,18641.135767120017,2017,23000000.0
441,Toyota,1600.0,9.32056788356001,2021,3675000.0
442,Mercedes,2000.0,42874.61226437604,2013,8000000.0
443,Suzuki,660.0,15.534279805933348,2021,1450000.0
444,MG,1500.0,70.83631591505606,2021,6050000.0
445,Toyota,1800.0,3355.404438081603,2021,4095000.000000001
446,Honda,1800.0,90098.82287441342,2013,2440000.0
447,KIA,2400.0,4902.618706752564,2021,7250000.0
448,Mercedes,1800.0,54059.29372464805,2006,4100000.0
449,Suzuki,800.0,46602.839417800045,2015,760000.0
450,Suzuki,800.0,41010.49868766404,2013,740000.0
451,Toyota,1300.0,85749.22452875208,2014,1975000.0
452,Honda,1500.0,43495.98345661337,2014,2100000.0
453,Honda,1800.0,60273.00564702139,2015,2750000.0
454,Toyota,1800.0,116942.05837906625,2009,1950000.0
455,Toyota,1300.0,38525.01391871471,2018,3050000.0
456,Prince,800.0,5405.929372464805,2021,1070000.0
457,Suzuki,1000.0,36660.9003420027,2018,1680000.0
458,KIA,2000.0,22369.362920544023,2020,5075000.0
459,Suzuki,1000.0,62137.119223733396,2008,880000.0000000001
460,Toyota,1000.0,74564.54306848007,2005,1550000.0
461,Suzuki,660.0,13670.166229221346,2021,1725000.0
462,Toyota,2700.0,87613.33810546408,2003,4900000.0
463,Toyota,1300.0,40389.12749542671,2014,2300000.0
464,Honda,660.0,114953.67056390678,2012,1295000.0
465,Suzuki,1300.0,65865.3463771574,2006,1075000.0
466,Honda,1600.0,74564.54306848007,2004,850000.0
467,Suzuki,1000.0,26097.590073968026,2019,2015000.0
468,Toyota,1300.0,46602.839417800045,2013,1550000.0
469,Honda,1300.0,70214.94472281873,2009,1540000.0
470,Toyota,1800.0,83885.11095204008,2013,2925000.0
471,Toyota,3000.0,0.621371192237334,1996,1250000.0
472,Toyota,1600.0,7.456454306848007,2021,4000000.0
473,Toyota,1000.0,41878.554243219594,2018,2550000.0
474,Toyota,2800.0,39282.46540205201,2019,8850000.0
475,Toyota,1800.0,53437.92253241072,2013,3025000.0
476,Toyota,1600.0,54991.35051300405,2017,3125000.0
477,Toyota,1800.0,44738.725841088046,2014,4050000.0
478,Hyundai,2000.0,19883.878151594687,2020,4950000.0
479,Suzuki,660.0,77904.41322675574,2017,1685000.0000000002
480,Toyota,1000.0,14151.72890320528,2018,2425000.0
481,Toyota,1000.0,23236.175733715103,2018,2395000.0
